PathwayID,PathwayName,Layer
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,2
R-HSA-199977,ER to Golgi Anterograde Transport,2
R-HSA-199992,trans-Golgi Network Vesicle Budding,2
R-HSA-201451,Signaling by BMP,2
R-HSA-201556,Signaling by ALK,2
R-HSA-201681,TCF dependent signaling in response to WNT,2
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,2
R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins,2
R-HSA-202403,TCR signaling,2
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,2
R-HSA-203615,eNOS activation,2
R-HSA-203641,NOSTRIN mediated eNOS trafficking,2
R-HSA-203754,NOSIP mediated eNOS trafficking,2
R-HSA-203927,MicroRNA (miRNA) biogenesis,2
R-HSA-209776,Metabolism of amine-derived hormones,2
R-HSA-209952,Peptide hormone biosynthesis,2
R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,2
R-HSA-210745,Regulation of gene expression in beta cells,2
R-HSA-210746,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,2
R-HSA-210747,Regulation of gene expression in early pancreatic precursor cells,2
R-HSA-210990,PECAM1 interactions,2
R-HSA-210991,Basigin interactions,2
R-HSA-210993,Tie2 Signaling,2
R-HSA-211945,Phase I - Functionalization of compounds,2
R-HSA-212300,PRC2 methylates histones and DNA,2
R-HSA-212436,Generic Transcription Pathway,2
R-HSA-2129379,Molecules associated with elastic fibres,2
R-HSA-2132295,MHC class II antigen presentation,2
R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,2
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,2
R-HSA-2160456,Phenylketonuria,2
R-HSA-2161517,Abacavir transmembrane transport,2
R-HSA-2161541,Abacavir metabolism,2
R-HSA-2168880,Scavenging of heme from plasma,2
R-HSA-2172127,DAP12 interactions,2
R-HSA-2187335,The retinoid cycle in cones (daylight vision),2
R-HSA-2219528,PI3K/AKT Signaling in Cancer,2
R-HSA-2395516,Electron transport from NADPH to Ferredoxin,2
R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),2
R-HSA-2408522,Selenoamino acid metabolism,2
R-HSA-2453902,The canonical retinoid cycle in rods (twilight vision),2
R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,2
R-HSA-2474795,Diseases associated with visual transduction,2
R-HSA-2514856,The phototransduction cascade,2
R-HSA-2534343,Interaction With Cumulus Cells And The Zona Pellucida,2
R-HSA-2559583,Cellular Senescence,2
R-HSA-2644603,Signaling by NOTCH1 in Cancer,2
R-HSA-264876,Insulin processing,2
R-HSA-2672351,Stimuli-sensing channels,2
R-HSA-2892245,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",2
R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",2
R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,2
R-HSA-2990846,SUMOylation,2
R-HSA-3000170,Syndecan interactions,2
R-HSA-3000471,Scavenging by Class B Receptors,2
R-HSA-3000480,Scavenging by Class A Receptors,2
R-HSA-3000484,Scavenging by Class F Receptors,2
R-HSA-3000497,Scavenging by Class H Receptors,2
R-HSA-3214815,HDACs deacetylate histones,2
R-HSA-3214841,PKMTs methylate histone lysines,2
R-HSA-3214842,HDMs demethylate histones,2
R-HSA-3214847,HATs acetylate histones,2
R-HSA-3214858,RMTs methylate histone arginines,2
R-HSA-3238698,WNT ligand biogenesis and trafficking,2
R-HSA-3296482,Defects in vitamin and cofactor metabolism,2
R-HSA-3304351,Signaling by TGF-beta Receptor Complex in Cancer,2
R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,2
R-HSA-3371556,Cellular response to heat stress,2
R-HSA-351202,Metabolism of polyamines,2
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins ,2
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,2
R-HSA-3781865,Diseases of glycosylation,2
R-HSA-379724,tRNA Aminoacylation,2
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,2
R-HSA-381119,Unfolded Protein Response (UPR),2
R-HSA-3858494,Beta-catenin independent WNT signaling,2
R-HSA-388396,GPCR downstream signalling,2
R-HSA-388841,Costimulation by the CD28 family,2
R-HSA-388844,Receptor-type tyrosine-protein phosphatases,2
R-HSA-389661,Glyoxylate metabolism and glycine degradation,2
R-HSA-389977,Post-chaperonin tubulin folding pathway,2
R-HSA-390466,Chaperonin-mediated protein folding,2
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,2
R-HSA-392517,Rap1 signalling,2
R-HSA-392518,Signal amplification,2
R-HSA-392851,Prostacyclin signalling through prostacyclin receptor,2
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,2
R-HSA-400508,"Incretin synthesis, secretion, and inactivation",2
R-HSA-418360,Platelet calcium homeostasis,2
R-HSA-421270,Cell-cell junction organization,2
R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",2
R-HSA-422356,Regulation of insulin secretion,2
R-HSA-422475,Axon guidance,2
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",2
R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,2
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",2
R-HSA-426486,Small interfering RNA (siRNA) biogenesis,2
R-HSA-426496,Post-transcriptional silencing by small RNAs,2
R-HSA-428157,Sphingolipid metabolism,2
R-HSA-429947,Deadenylation of mRNA,2
R-HSA-429958,mRNA decay by 3' to 5' exoribonuclease,2
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,2
R-HSA-430116,GP1b-IX-V activation signalling,2
R-HSA-432030,Transport of glycerol from adipocytes to the liver by Aquaporins,2
R-HSA-432040,Vasopressin regulates renal water homeostasis via Aquaporins,2
R-HSA-432047,Passive transport by Aquaporins,2
R-HSA-432142,Platelet sensitization by LDL,2
R-HSA-446107,Type I hemidesmosome assembly,2
R-HSA-446203,Asparagine N-linked glycosylation,2
R-HSA-446353,Cell-extracellular matrix interactions,2
R-HSA-449147,Signaling by Interleukins,2
R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,2
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,2
R-HSA-450513,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",2
R-HSA-450520,HuR (ELAVL1) binds and stabilizes mRNA,2
R-HSA-450604,KSRP (KHSRP) binds and destabilizes mRNA,2
R-HSA-453274,Mitotic G2-G2/M phases,2
R-HSA-453276,Regulation of mitotic cell cycle,2
R-HSA-453279,Mitotic G1 phase and G1/S transition,2
R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),2
R-HSA-4791275,Signaling by WNT in cancer,2
R-HSA-499943,Interconversion of nucleotide di- and triphosphates,2
