PathwayID,PathwayName,GeneSymbol
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLD3
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLD4
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLDS
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLE
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLE1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLE2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLE3
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,POLE4
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RAD18
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RAD6B
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RAMP
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RBX1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,REPA1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,REPA2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,REPA3
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC140
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC3
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC4
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RFC5
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RNF73
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RNF75
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,ROC1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA14
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA3
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA32
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA34
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPA70
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,RPS27A
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UAF1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBA52
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBA80
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBB
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBC
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBCEP1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBCEP2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBCH1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,UBE2B
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,USP1
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,WDR48
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,XAP1
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,CBP20
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,CBP80
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,COD
